Nymphaea alba
Odontarrhena argentea
Oenanthe fistulosa
Oenothera glazioviana
Onobrychis arenaria
Onobrychis montana
Onobrychis viciifolia
Ononis natrix
Ononis pusilla
Ononis pusilla
Ononis repens
Ononis repens
Ononis rotundifolia
Onosma helvetica
Onosma helvetica
Onosma pseudoarenaria
Opuntia humifusa
Opuntia humifusa
Opuntia scheerii
Orchis simia
Origanum vulgare
Origanum vulgare
Ornithogalum gussonei
Ornithogalum narbonense
Ornithogalum pyrenaicum
Osmunda regalis
Oxydendron arboreum
Oxytropis pilosa
Paederota bonarota
Paederota lutea
Paeonia anomala
Paeonia lactiflora
Paeonia officinalis
Paeonia officinalis
Paeonia officinalis
Paeonia parnassica
Pancratium maritimum
Pancratium maritimum
Papaver atlanticum
Papaver croceum
Papaver dubium
Papaver occidentale
Papaver occidentale
Papaver occidentale
Paphiopedilum callosum
Paradisea liliastrum
Paradisea liliastrum
Paradisea liliastrum
Parietaria judaica
Parnassia palustris
Paronychia argentea
Petasites hybridus
Petrocallis pyrenaica
Petrocallis pyrenaica
Petrocallis pyrenaica
Petrorhagia prolifera
Petrorhagia saxifraga
Peucedanum austriacum
Peucedanum oreoselinum
Peucedanum ostruthium
Phleum alpinum
Phleum hirsutum
Phleum phleoides
Phleum phleoides
Phleum rhaeticum
Phoenix canariensis
Phoenix theophrasti
Phyllitis scolopendrium
Phyteuma betonicifolium
Phyteuma orbiculare
Phyteuma scheuzeri
Phyteuma spicatum
Phyteuma spicatum
Pimpinella major
Pimpinella nigra
Pimpinella saxifraga
Pimpinella saxifraga
Pinus mugo
Pinus mugo
Pinus mugo
Pinus mugo
Pinus mugo
Pinus sibirica
Plantago alpina
Plantago alpina
Plantago atrata
Plantago coronopus
Plantago sarda
Platanus orientalis
Platanus orientalis
Poa cenisia
Poa chaixii
Poa perconcinnia
Poa trivialis
Podospermum roseum
Polygonatum odoratum
Polygonatum verticillatum
Polygonum amphibium
Polygonum amphibium
Polygonum hydropiper
Polygonum viviparum
Polystichum lonchitis
Populus nigra
Populus nigra
Populus tremula
Porlieria hygrometra
Potamogeton alpinus
Potamogeton gramineus
Potentilla alba
Potentilla alchemilloides
Potentilla anserina
Potentilla anserina
Potentilla argentea
Potentilla argentea
Potentilla aurea
Potentilla caulescens
Potentilla grammopetala
Potentilla inclinata
Potentilla micrantha
Potentilla multifida
Potentilla nivea
Potentilla palustris
Potentilla palustris
Potentilla recta
Potentilla rupestris
Potentilla rupestris
Potentilla rupestris
Potentilla sterilis
Potentilla x
Prenanthes purpurea
Prenanthes purpurea
Primula auricula
Primula auricula
Primula auricula
Primula clusiana
Primula elatior
Primula hirsuta
Primula latifolia
Primula veris
Primula wulfeniana
Prunella grandiflora
Prunus mahaleb
Prunus spinosa
Pseudolysimachion spicatum
Pseudolysimachion spicatum
Pseudolysimachion spicatum
Pseudolysimachion spicatum
Pulmonaria helvetica
Pulmonaria obscura
Pulsatilla albana
Pulsatilla alpina
Pulsatilla alpina
Pulsatilla bungeana
Pulsatilla campanella
Pulsatilla halleri
Pulsatilla halleri
Pulsatilla montana
Pulsatilla montana
Pulsatilla montana
Pulsatilla nigricans
Pulsatilla pratensis
Pulsatilla pratensis
Pulsatilla turczaninovii
Pulsatilla vulgaris
Pulsatilla vulgaris
Pulsatilla vulgaris
Pulsatilla vulgaris
Quercus ilex
Quercus pubescens
Quercus pubescens
Quercus suber
Quercus trojana
Ranunculus breyninus
Ranunculus bulbosus
Ranunculus carinthiacus
Ranunculus flammula
Ranunculus gramineus
Ranunculus lanuginosus
Ranunculus parnassiifolius
Ranunculus parnassiifolius
Ranunculus repens
Ranunculus reptans
Ranunculus sardous
Ranunculus tricophylllus
Ranunculus tuberosus
Raoulia glabra
Raphanus raphanistrum
Rhamnus alpina
Rhamnus cathartica
Rhamnus prunifolia
Rhamnus pumila
Rhamnus pumila
Rhodiola rosea
Rhodiola rosea
Rhodiola rosea
Rhododendron ferrugineum
Rhododendron ferrugineum
Rosa abietina
Rosa acicularis
Rosa elliptica
Rosa glauca
Rosa jundzillii
Rosa mollis
Rosa pendulina
Rosa rubiginosa
Rosa spinosissima
Rubus saxatilis
Rumex alpinus
Rumex hydrolapathum
Rumex hydrolapathum
Rumex lunaria
Rumex maritimus
Rumex scutatus
Rumex scutatus
Ruscus aculeatus
Ruscus aculeatus
Salix alba
Salix alba
Salix appendiculata
Salix bicolor
Salix bicolor
Salix caprea
Salix cinerea
Salix hastata
Salix herbacea
Salix myrtilloides
Salix myrtilloides
Salix purpurea
Salix repens
Salix reticulata
Salix retusa
Salix retusa
Salix retusa
Salix retusa
Salix serpillifolia
Salix viminalis
Salvia bracteata
Salvia canariensis
Salvia canariensis
Salvia dominica
Salvia eigii
Salvia fruticosa
Salvia glutinosa
Salvia indica
Salvia spinosa
Sambucus ebulus
Sambucus nigra
Sanguinaria canadensis
Sanguisorba minor
Saponaria lutea
Saponaria officinalis
Saponaria officinalis
Saponaria pumila
Saussurea alpina
Saussurea alpina
Saussurea discolor
Saxifraga aizoides
Saxifraga aquatica
Saxifraga caesia
Saxifraga callosa
Saxifraga callosa
Saxifraga canaliculata
Saxifraga cebennensis
Saxifraga cebennensis
Saxifraga chrysosplenifolia
Saxifraga continentalis
Saxifraga cotyledon
Saxifraga cotyledon
Saxifraga cotyledon
Saxifraga cotyledon
Saxifraga crustata
Saxifraga crustata
Saxifraga cuneata
Saxifraga exarata
Saxifraga exarata
Saxifraga exarata
Saxifraga exarata
Saxifraga ferdinandi-coburgii
Saxifraga granulata
Saxifraga hirculus
Saxifraga hirculus
Saxifraga hirsuta
Saxifraga hostii
Saxifraga hostii
Saxifraga hostii
Saxifraga irrigua
Saxifraga longifolia
Saxifraga longifolia
Saxifraga longifolia
Saxifraga longifolia
Saxifraga longifolia
Saxifraga mutata
Saxifraga mutata
Saxifraga oppositifolia
Saxifraga oppositifolia
Saxifraga oppositifolia
Saxifraga paniculata
Saxifraga paniculata
Saxifraga paniculata
Saxifraga paniculata
Saxifraga rosacea
Saxifraga rosacea
Saxifraga rotundifolia
Saxifraga rotundifolia
Saxifraga sancta
Scabiosa columbaria
Scabiosa lucida
Scabiosa triandra
Scheuchzeria palustris
Schoenorchis fragrans
Schoenus nigricans
Scilla autumnalis
Scilla bifolia
Scilla bifolia
Scilla hyacinthoides
Scorzonera austriaca
Scorzonera austriaca
Scorzonera austriaca
Scorzonera austriaca
Scorzonera hispanica
Scorzonera humilis
Scrophularia juratensis
Scrophularia umbrosa
Scrophularia umbrosa
Securigera varia
Sedum album
Sedum anacampseros
Sedum anacampseros
Sedum dasyphyllum
Sedum dasyphyllum
Sedum dasyphyllum
Sedum montanum
Sedum montanum
Sedum montanum
Sedum rupestre
Sedum telephium
Selaginella helvetica
Selaginella helvetica
Selenicereus hamatus
Selenicereus validus
Selinum carvifolia
Sempervivum arachnoideum
Sempervivum arachnoideum
Sempervivum arachnoideum
Sempervivum arachnoideum
Sempervivum arachnoideum
Sempervivum arachnoideum
Sempervivum giuseppii
Sempervivum giuseppii
Sempervivum kosaninii
Sempervivum leucanthum
Sempervivum marmoreum
Sempervivum marmoreum
Sempervivum montanum
Sempervivum montanum
Sempervivum montanum
Sempervivum montanum
Sempervivum nevadense
Sempervivum ruthenicum
Sempervivum tectorum
Sempervivum tectorum
Sempervivum tectorum
Sempervivum tectorum
Sempervivum tectorum
Sempervivum tectorum
Sempervivum tectorum
Sempervivum x
Sempervivum x
Senecio abrotanifolius
Senecio alpinus
Senecio doronicum
Senecio erraticus
Senecio erucifolius
Senecio ovatus
Serratula tinctoria
Serratula tinctoria
Seseli libanotis
