ipen,determination,multiplication,hivernage,protectionHiv1,protectionHiv2,taxonFamille1,taxonControle,taxonBiblio,periodeDeSemis,idTaxon,secteur
XX 0 FRIBG 20160295,,,,,,Actinidiaceae,,,,Actinidia kolomikta (Maxim. et Rupr.) Maxim.,Système 2
XX 0 FRIBG 19590003,,,,,,Actinidiaceae,,,,Actinidia polygama Franch. et Sav.,Entrée AMI
XX 0 FRIBG 20130132,,,,,,Malvaceae,,,,Adansonia digitata L.,Serre 5
XX 0 FRIBG 20130132,,,,,,Malvaceae,,,,Adansonia digitata L.,Multiplication
XX 0 FRIBG 20160405,,,,,,Campanulaceae,,,,Adenophora liliifolia (L.) A. DC.,Système 1
AT 0 WU 0026826,,,,,,Campanulaceae,,,,Adenophora liliifolia (L.) A. DC.,Alp. calcaire 4
CH 0 FRIBG 20140318,,,,,,Asteraceae,,,,Adenostyles alliariae (Gouan) A. Kern.,Alp. calcaire 2
CH 0 FRIBG 20140403,,,,,,Asteraceae,,,,Adenostyles alpina (L.) Bluff et Fingerh.,Alp. calcaire 2
XX 0 FRIBG 20050384,,,,,,Pteridaceae,,,,Adiantum capillus- veneris L.,Fougères
XX 0 FRIBG 20020551,,,,,,Pteridaceae,,,,Adiantum pedatum L.,Rocaille 1
ES 0 FRIBG 19930573,,,,,,Pteridaceae,,,,Adiantum sp.,Serre 4
XX 0 FRIBG 20040716,,,,,,Ranunculaceae,,,16,Adonis aestivalis L.,Système 3
XX 0 M 20170164,,,,,,Ranunculaceae,,,,Adonis pyrenaica DC.,Rocaille 1
XX 0 FRIBG 10000517,"Clément Benoit , 2005",,,,,Ranunculaceae,,,,Adonis vernalis L.,Alp. calcaire 6
XX 0 FRIBG 10000518,"Clément Benoit , 2002",,,,,Ranunculaceae,,,,Adonis vernalis L.,Pl. protégées
XX 0 FRIBG 10000519,"Clément Benoit , 2002",,,,,Ranunculaceae,,,,Adonis vernalis L.,Médicinal
XX 0 FRIBG 10000519,"Clément Benoit , 2002",,,,,Ranunculaceae,,,,Adonis vernalis L.,Steppe val.
XX 0 FRIBG 10000520,"Clément Benoit , 2005",,,,,Ranunculaceae,,,,Adonis vernalis L.,Bacs tuf
CH 0 FRIBG 20040469,,,,,,Adoxaceae,,,,Adoxa moschatellina L.,Alp. calcaire 2
CH 0 FRIBG 20160292,Sciboz J.,,,,,Adoxaceae,,,,Adoxa moschatellina L.,Système 1
XX 0 FRIBG 10003133,,,,,,Bromeliaceae,,,,Aechmea fasciata (Lindl.) Baker,Serre 4
