Inventaire FRIBG,is_approximate_match,is_synonym,matched_name,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name,_merge,ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,flags,rank
clematis orientalis,False,False,Clematis orientalis,ICN,1.0,clematis orientalis,[],False,False,Clematis orientalis,594147.0,species,ott3.3draft1,"['Clematis albida', 'Clematis aurea', 'Clematis flava', 'Clematis glauca', 'Clematis graveolens', 'Clematis hysudrica', 'Clematis longecaudata', 'Clematis parvifolia', 'Clematis songarica', 'Clematitis flava', 'Meclatis orientalis', 'Viticella orientalis']","['ncbi:231655', 'gbif:3033532', 'irmng:10997541']",Clematis orientalis,both,594147,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,,Clematis orientalis,5268475,916750,99252,872975,387826,964052,,[],species
clematis recta,False,False,Clematis recta,ICN,1.0,clematis recta,[],False,False,Clematis recta,972679.0,species,ott3.3draft1,"['Anemone recta', 'Clematis bracteosa', 'Clematis corymbosa', 'Clematis erecta', 'Clematis hispanica', 'Clematis lathyriflora', 'Clematis tenuiflora', 'Clematis umbraticola', 'Clematitis erecta', 'Clematitis recta']","['ncbi:748711', 'gbif:3033543', 'irmng:10589119']",Clematis recta,both,972679,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,,Clematis recta,5268475,916750,99252,872975,387826,964052,,[],species
clematis rehderiana,False,False,Clematis rehderiana,ICN,1.0,clematis rehderiana,[],False,False,Clematis rehderiana,289952.0,species,ott3.3draft1,"['Clematis nutans thyrsoidea', 'Clematis veitchiana']","['ncbi:3453', 'gbif:3928722']",Clematis rehderiana,both,289952,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,,Clematis rehderiana,5268475,916750,99252,872975,387826,964052,,[],species
clematis tangutica,False,False,Clematis tangutica,ICN,1.0,clematis tangutica,[],False,False,Clematis tangutica,21285.0,species,ott3.3draft1,"['Clematis chrysantha', 'Clematis orientalis tangutica']","['ncbi:231661', 'gbif:3033535', 'irmng:10681659']",Clematis tangutica,both,21285,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,,Clematis tangutica,5268475,916750,99252,872975,387826,964052,,[],species
clematis vitalba,False,False,Clematis vitalba,ICN,1.0,clematis vitalba,[],False,False,Clematis vitalba,756499.0,species,ott3.3draft1,"['Anemone vitalba', 'Clematis buchananiana grewiiflora', 'Clematis crenata', 'Clematis dumosa', 'Clematis grewiiflora', 'Clematis loasifolia', 'Clematis mollissima', 'Clematis pilosa', 'Clematis scandens', 'Clematis sepium', 'Clematis taurica', 'Clematis vitalba bannatica', 'Clematis vitalba crenata', 'Clematis vitalba integrata', 'Clematis vitalba mollissima', 'Clematis vitalba syriaca', 'Clematis vitalba taurica', 'Clematitis vitalba', 'Viorna clematitis']","['ncbi:37490', 'gbif:3033558', 'gbif:3920991', 'irmng:10857045']",Clematis vitalba,both,756499,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,,Clematis vitalba,5268475,916750,99252,872975,387826,964052,,[],species
clematis viticella,False,False,Clematis viticella,ICN,1.0,clematis viticella,[],False,False,Clematis viticella,3945125.0,species,ott3.3draft1,"['Clematis viticella purpurea', 'Viticella viticella']","['ncbi:1857155', 'gbif:3033518', 'irmng:10586648']",Clematis viticella,both,3945125,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,,Clematis viticella,5268475,916750,99252,872975,387826,964052,,[],species
clerodendrum thomsoniae,False,False,Clerodendrum thomsoniae,ICN,1.0,clerodendrum thomsoniae,[],False,False,Clerodendrum thomsoniae,166610.0,species,ott3.3draft1,"['Clerodendrum balfourii', 'Clerodendrum delectum', 'Clerodendrum thompsoniae', 'Clerodendrum thomsonae', 'Clerodendrum thomsoniae balfourii']","['ncbi:167922', 'gbif:3889087', 'irmng:11387918']",Clerodendrum thomsoniae,both,166610,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Clerodendrum,,Clerodendrum thomsoniae,5268475,916750,99252,23736,544714,274806,,[],species
clerodendrum trichotomum,False,False,Clerodendrum trichotomum,ICN,1.0,clerodendrum trichotomum,[],False,False,Clerodendrum trichotomum,261345.0,species,ott3.3draft1,"['Clerodendron trichotomum', 'Clerodendrum fargesii', 'Clerodendrum koshunense', 'Clerodendrum serotinum', 'Clerodendrum trichotomum albicarpum', 'Clerodendrum trichotomum esculentum', 'Clerodendrum trichotomum fargesii', 'Clerodendrum trichotomum ferrugineum', 'Clerodendrum trichotomum tomentosum', 'Clerodendrum trichotomum villosum', 'Clerodendrum trichotonum', 'Clerodendrum yakusimense', 'Ovieda trichotoma', 'Siphonanthus trichotomus', 'Siphonanthus trichotomus esculentus', 'Siphonanthus trichotomus fargesii', 'Siphonanthus trichotomus ferrugineus', 'Siphonanthus yakusimensis']","['ncbi:54229', 'gbif:2925366', 'irmng:11424672']",Clerodendrum trichotomum,both,261345,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Clerodendrum,,Clerodendrum trichotomum,5268475,916750,99252,23736,544714,274806,,[],species
clethra alnifolia,False,False,Clethra alnifolia,ICN,1.0,clethra alnifolia,[],False,False,Clethra alnifolia,274812.0,species,ott3.3draft1,"['? paniculata', 'Clethra alnifolia denudata', 'Clethra alnifolia glabella', 'Clethra alnifolia michauxii', 'Clethra alnifolia paniculata', 'Clethra alnifolia pubescens', 'Clethra alnifolia rosea', 'Clethra alnifolia tomentosa', 'Clethra angustifolia', 'Clethra bracteata', 'Clethra dentata', 'Clethra incana', 'Clethra paniculata', 'Clethra pubescens', 'Clethra pumila', 'Clethra tomentosa']","['ncbi:13435', 'gbif:2888323', 'irmng:10588976']",Clethra alnifolia,both,274812,Archaeplastida,Streptophyta,Magnoliopsida,Ericales,Clethraceae,Clethra,,Clethra alnifolia,5268475,916750,99252,648892,47344,274810,,[],species
clitoria ternatea,False,False,Clitoria ternatea,ICN,1.0,clitoria ternatea,[],False,False,Clitoria ternatea,404244.0,species,ott3.3draft1,"['Clitoria albiflora', 'Clitoria bracteata', 'Clitoria coelestris', 'Clitoria mearnsii', 'Clitoria parviflora', 'Clitoria philippensis', 'Clitoria pilosula', 'Clitoria tanganicensis', 'Clitoria tanganyicensis', 'Clitoria ternatea alba', 'Clitoria ternatea pilosula', 'Clitoria ternatensium', 'Clitoria zanzibarensis', 'Lathyrus spectabilis', 'Ternatea ternatea', 'Ternatea vulgaris']","['ncbi:43366', 'gbif:2946519', 'irmng:11181969']",Clitoria ternatea,both,404244,Archaeplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Clitoria,,Clitoria ternatea,5268475,916750,99252,956360,560323,404237,,[],species
clivia gardenii,False,False,Clivia gardenii,ICN,1.0,clivia gardenii,[],False,False,Clivia gardenii,1040778.0,species,ott3.3draft1,['Clivia gardenii citrina'],"['ncbi:152471', 'gbif:5326272']",Clivia gardenii,both,1040778,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Clivia,,Clivia gardenii,5268475,916750,99252,557124,17701,512515,,[],species
clivia miniata,False,False,Clivia miniata,ICN,1.0,clivia miniata,[],False,False,Clivia miniata,512516.0,species,ott3.3draft1,"['Clivia miniata citrina', 'Clivia miniata flava', 'Clivia sulphurea', 'Imantophyllum barkeri', 'Imantophyllum miniatum', 'Imatophyllum atrosanguineum', 'Imatophyllum miniatum', 'Imatophyllum miniatum pictum', 'Imatophyllum van-houttei', 'Vallota miniata']","['ncbi:16049', 'gbif:9482657']",Clivia miniata,both,512516,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Clivia,,Clivia miniata,5268475,916750,99252,557124,17701,512515,,[],species
cneorum tricoccon,False,False,Cneorum tricoccon,ICN,1.0,cneorum tricoccon,[],False,False,Cneorum tricoccon,383065.0,species,ott3.3draft1,"['Chamaelea tricoccos', 'Cneorum trimerum', 'Cubincola trimera', 'Schoepfia stenophylla']","['ncbi:459164', 'gbif:7483998', 'gbif:3685995']",Cneorum tricoccon,both,383065,Archaeplastida,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Cneorum,,Cneorum tricoccon,5268475,916750,99252,229288,43847,655992,,[],species
cnicus benedictus,False,True,Cnicus benedictus,ICN,1.0,cnicus benedictus,[],False,False,Centaurea benedicta,821531.0,species,ott3.3draft1,"['Benedicta officinalis', 'Calcitrapa benedicta', 'Calcitrapa lanuginosa', 'Carbenia benedicta', 'Cardosanctus officinalis', 'Carduus benedictus', 'Centaurea centriflora', 'Centaurea pseudobenedicta', 'Cnicus benedictus', 'Cnicus benedictus benedictus', 'Cnicus benedictus kotschyi', 'Cnicus bulgaricus', 'Cnicus kotschyi', 'Cnicus microcephalus', 'Cnicus pseudobenedictus', 'Epitrachys microcephala', 'Hierapicra benedicta']","['ncbi:50282', 'gbif:3127691']",Centaurea benedicta,both,821531,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,Centaurea benedicta,5268475,916750,99252,1042120,46248,1030541,,[],species
cnidium silaifolium,False,False,Cnidium silaifolium,ICN,1.0,cnidium silaifolium,[],False,False,Cnidium silaifolium,739124.0,species,ott3.3draft1,['Selinum silaifolium'],['ncbi:63000'],Cnidium silaifolium,both,739124,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Cnidium,,Cnidium silaifolium,5268475,916750,99252,372834,372831,622363,,[],species
cobaea scandens,False,False,Cobaea scandens,ICN,1.0,cobaea scandens,[],False,False,Cobaea scandens,558456.0,species,ott3.3draft1,"['Cobaea lasseri', 'Rosenbergia scandens']","['ncbi:55380', 'gbif:4204358']",Cobaea scandens,both,558456,Archaeplastida,Streptophyta,Magnoliopsida,Ericales,Polemoniaceae,Cobaea,,Cobaea scandens,5268475,916750,99252,648892,814217,393066,,[],species
cochlearia officinalis,False,False,Cochlearia officinalis,ICN,1.0,cochlearia officinalis,[],False,False,Cochlearia officinalis,177734.0,species,ott3.3draft1,"['Cochlearia kamtschatica', 'Cochlearia linnaei', 'Draba cochlearioides']","['ncbi:270110', 'worms:425785', 'gbif:5373276', 'irmng:10764785']",Cochlearia officinalis,both,177734,Archaeplastida,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Cochlearia,,Cochlearia officinalis,5268475,916750,99252,8844,309271,390152,,[],species
cocos nucifera,False,False,Cocos nucifera,ICN,1.0,cocos nucifera,[],False,False,Cocos nucifera,366250.0,species,ott3.3draft1,"['Calappa nucifera', 'Cocos indica', 'Cocos mamillaris', 'Cocos nana', 'Cocos nucifera alangan', 'Cocos nucifera alba', 'Cocos nucifera angustifolia', 'Cocos nucifera aurea', 'Cocos nucifera austera', 'Cocos nucifera bego', 'Cocos nucifera buri', 'Cocos nucifera calimbahin', 'Cocos nucifera capuliformis', 'Cocos nucifera cistiformis', 'Cocos nucifera como', 'Cocos nucifera crassissima', 'Cocos nucifera delicata', 'Cocos nucifera eburnea', 'Cocos nucifera edulis', 'Cocos nucifera elongata', 'Cocos nucifera fibrosa', 'Cocos nucifera fragilis', 'Cocos nucifera humilis', 'Cocos nucifera iners', 'Cocos nucifera javanica', 'Cocos nucifera laetevirens', 'Cocos nucifera lansiformis', 'Cocos nucifera lolog', 'Cocos nucifera machaeroides', 'Cocos nucifera macrocarpa', 'Cocos nucifera maldivica', 'Cocos nucifera mamillaris', 'Cocos nucifera microcarpa', 'Cocos nucifera nana', 'Cocos nucifera ossea', 'Cocos nucifera pinang', 'Cocos nucifera pretiosa', 'Cocos nucifera pruniformis', 'Cocos nucifera pumila', 'Cocos nucifera regia', 'Cocos nucifera rubescens', 'Cocos nucifera rutila', 'Cocos nucifera saccharina', 'Cocos nucifera sapida', 'Cocos nucifera spicata', 'Cocos nucifera stupposa', 'Cocos nucifera suavis', 'Cocos nucifera subamara', 'Cocos nucifera subcandida', 'Cocos nucifera synphyllica', 'Cocos nucifera tabogog', 'Cocos nucifera tamisan', 'Cocos nucifera tenuissima', 'Cocos nucifera viridis', 'Diplothemium henryanum']","['ncbi:13894', 'gbif:2735117', 'irmng:10589878']",Cocos nucifera,both,366250,Archaeplastida,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Cocos,,Cocos nucifera,5268475,916750,99252,17706,526437,366253,,[],species
codiaeum.,True,False,Codiaeum,ICN,0.875,codiaeum.,[],False,False,Codiaeum,506587.0,genus,ott3.3draft1,"['Crozophyla', 'Junghuhnia', 'Phyllaurea', 'Synaspisma']","['ncbi:138557', 'gbif:3071464', 'irmng:1105234']",Codiaeum,both,506587,Archaeplastida,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,,,Codiaeum,5268475,916750,99252,429482,914245,,,[],genus
