ipen,determination,multiplication,hivernage,protectionHiv1,protectionHiv2,taxonFamille1,taxonControle,taxonBiblio,periodeDeSemis,idTaxon,secteur,matched_name,fuzzy_match_score,Inventaire FRIBG,is_approximate_match,is_synonym,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name,_merge
AT 0 FRIBG 20110114,,,,,,Caryophyllaceae,,,,Dianthus hyssopifolius L.,Alp. calcaire 4,Dianthus hyssopifolius,96.0,dianthus hyssopifolius,False,False,ICN,1.0,dianthus hyssopifolius,[],False,False,Dianthus hyssopifolius,756536.0,species,ott3.3draft1,[],['ncbi:746774'],Dianthus hyssopifolius,both
IT 0 FRIBG 20030223,,,,,,Caryophyllaceae,,,,Dianthus hyssopifolius L.,Alp. calcaire 6,Dianthus hyssopifolius,96.0,dianthus hyssopifolius,False,False,ICN,1.0,dianthus hyssopifolius,[],False,False,Dianthus hyssopifolius,756536.0,species,ott3.3draft1,[],['ncbi:746774'],Dianthus hyssopifolius,both
XX 0 FRIBG 20160121,,,,,,Caryophyllaceae,,,,Dianthus hyssopifolius L.,SystÃ¨me 3,Dianthus hyssopifolius,96.0,dianthus hyssopifolius,False,False,ICN,1.0,dianthus hyssopifolius,[],False,False,Dianthus hyssopifolius,756536.0,species,ott3.3draft1,[],['ncbi:746774'],Dianthus hyssopifolius,both
XX 0 FRIBG 20040458,,,,,,Caryophyllaceae,,,,Dianthus knappii (Pant.) BorbÃ¡s,SystÃ¨me 3,Dianthus knappii,90.0,dianthus knappii,False,False,ICN,1.0,dianthus knappii,[],False,False,Dianthus knappii,756530.0,species,ott3.3draft1,[],['ncbi:746776'],Dianthus knappii,both
XX 0 FRIBG 20200081,Josef SchÃ¶pfer 2021,,,,,Caryophyllaceae,,,,Dianthus pavonius Tausch,Pl. mÃ©dit.,Dianthus pavonius,95.0,dianthus pavonius,False,False,ICN,1.0,dianthus pavonius,[],False,False,Dianthus pavonius,12855.0,species,ott3.3draft1,"['Dianthus neglectus elongatus', 'Dianthus neglectus nanus']","['ncbi:746795', 'gbif:3809829']",Dianthus pavonius,both
XX 0 FRIBG 10001058,,,,,,Caryophyllaceae,,,,Dianthus petraeus Waldst. et Kit.,Pl. mÃ©dit.,Dianthus petraeus,90.0,dianthus petraeus,False,False,ICN,1.0,dianthus petraeus,[],False,False,Dianthus petraeus,214514.0,species,ott3.3draft1,['Dianthus bohemicus'],"['ncbi:746796', 'gbif:7267284']",Dianthus petraeus,both
HU 0 FRIBG 20010321,,,,,,Caryophyllaceae,,,,Dianthus pontederae A. Kern,Rocaille 2,Dianthus pontederae,95.0,dianthus pontederae,False,False,ICN,1.0,dianthus pontederae,[],False,False,Dianthus pontederae,312396.0,species,ott3.3draft1,"['Dianthus carthusianorum pontederae', 'Dianthus giganteiformis pontederae', 'Dianthus giganteiformis subsp. pontederae', 'Dianthus sabuletorum pontederae', 'Dianthus urziceniensis']","['ncbi:1216852', 'gbif:3809583']",Dianthus pontederae,both
ES 0 IB 002381,,,,,,Caryophyllaceae,,,,"Dianthus pungens subsp. brachyanthus (Boiss.) B.Fern.Casas, G.Lopez et M.Lainz",Rocaille 2,Dianthus pungens,90.0,dianthus pungens,False,False,ICN,1.0,dianthus pungens,[],False,False,Dianthus pungens,214758.0,species,ott3.3draft1,"['Dianthus acuminatus', 'Dianthus pungens insignitus', 'Dianthus serratus insignitus', 'Diosanthos pungens']","['ncbi:746798', 'gbif:8330248']",Dianthus pungens,both
IT 0 FRIBG 20150155,,,,,,Caryophyllaceae,,,,Dianthus seguieri Vill.,Alp. siliceux,Dianthus seguieri,95.0,dianthus seguieri,False,False,ICN,1.0,dianthus seguieri,[],False,False,Dianthus seguieri,569096.0,species,ott3.3draft1,[],"['ncbi:42032', 'gbif:3085423', 'irmng:10211665']",Dianthus seguieri,both
AT 0 FRIBG 20020285,,,,,,Caryophyllaceae,,,,Dianthus sternbergii Sieber subsp. sternbergii,Rocaille 1,Dianthus sternbergii,90.0,dianthus sternbergii,False,False,ICN,1.0,dianthus sternbergii,[],False,False,Dianthus sternbergii,5143794.0,species,ott3.3draft1,"['Dianthus hyssopifolius sternbergii', 'Dianthus monspessulanus sternbergii', 'Dianthus waldsteinii']",['gbif:8632417'],Dianthus sternbergii,both
CH 0 FRIBG 20020682,,,,,,Caryophyllaceae,,,,Dianthus superbus L. s.l.,Pl. protÃ©gÃ©es,Dianthus superbus,95.0,dianthus superbus,False,False,ICN,1.0,dianthus superbus,[],False,False,Dianthus superbus,432192.0,species,ott3.3draft1,[],"['ncbi:288950', 'gbif:6363496']",Dianthus superbus,both
CH 0 FRIBG 20160565,,,,,,Caryophyllaceae,,,13 m,Dianthus superbus L. s.l.,Zone humide,Dianthus superbus,95.0,dianthus superbus,False,False,ICN,1.0,dianthus superbus,[],False,False,Dianthus superbus,432192.0,species,ott3.3draft1,[],"['ncbi:288950', 'gbif:6363496']",Dianthus superbus,both
CH 0 FRIBG 20060585,,,,,,Caryophyllaceae,,,,Dianthus superbus L. s.l.,Alp. calcaire 3,Dianthus superbus,95.0,dianthus superbus,False,False,ICN,1.0,dianthus superbus,[],False,False,Dianthus superbus,432192.0,species,ott3.3draft1,[],"['ncbi:288950', 'gbif:6363496']",Dianthus superbus,both
IT 0 FRIBG 20020318,,,,,,Caryophyllaceae,,,,Dianthus sylvestris subsp. longicaulis (Ten.) Greuter et Burdet,Rocaille 3,Dianthus sylvestris,90.0,dianthus sylvestris,False,False,ICN,1.0,dianthus sylvestris,[],False,False,Dianthus sylvestris,432188.0,species,ott3.3draft1,[],"['ncbi:288953', 'gbif:3085419', 'irmng:11039103']",Dianthus sylvestris,both
CH 0 FRIBG 20020667,"ClÃ©ment Benoit, 2004",,,,,Caryophyllaceae,,,,Dianthus sylvestris Wulfen subsp. sylvestris,Steppe val.,Dianthus sylvestris,90.0,dianthus sylvestris,False,False,ICN,1.0,dianthus sylvestris,[],False,False,Dianthus sylvestris,432188.0,species,ott3.3draft1,[],"['ncbi:288953', 'gbif:3085419', 'irmng:11039103']",Dianthus sylvestris,both
CH 0 FRIBG 20020667,"ClÃ©ment Benoit, 2004",,,,,Caryophyllaceae,,,,Dianthus sylvestris Wulfen subsp. sylvestris,Pl. protÃ©gÃ©es,Dianthus sylvestris,90.0,dianthus sylvestris,False,False,ICN,1.0,dianthus sylvestris,[],False,False,Dianthus sylvestris,432188.0,species,ott3.3draft1,[],"['ncbi:288953', 'gbif:3085419', 'irmng:11039103']",Dianthus sylvestris,both
CH 0 FRIBG 20020667,"ClÃ©ment Benoit, 2004",,,,,Caryophyllaceae,,,,Dianthus sylvestris Wulfen subsp. sylvestris,Alp. calcaire 6,Dianthus sylvestris,90.0,dianthus sylvestris,False,False,ICN,1.0,dianthus sylvestris,[],False,False,Dianthus sylvestris,432188.0,species,ott3.3draft1,[],"['ncbi:288953', 'gbif:3085419', 'irmng:11039103']",Dianthus sylvestris,both
GR 0 P 2016g138,Josef SchÃ¶pfer 2021,,,,,Caryophyllaceae,,,,Dianthus viscidus Bory et Chaub.,Pl. mÃ©dit.,Dianthus viscidus,90.0,dianthus viscidus,False,False,ICN,1.0,dianthus viscidus,[],False,False,Dianthus viscidus,938215.0,species,ott3.3draft1,"['Dianthus grisebachii', 'Dianthus olympicus', 'Dianthus parnassicus', 'Dianthus viscidus elatior', 'Dianthus viscidus glandulosus', 'Dianthus viscidus grisebachii']","['ncbi:746818', 'gbif:7266884']",Dianthus viscidus,both
TR 0 IB 007438,,,,,,Caryophyllaceae,,,,Dianthus webianus Vis.,Rocaille 3,Dianthus webbianus,87.0,dianthus webianus,True,False,ICN,0.9444444179534912,dianthus webianus,[],False,False,Dianthus webbianus,7049408.0,species,ott3.3draft1,['Dianthus erinaceus'],"['ncbi:1929403', 'gbif:7759686']",Dianthus webbianus,both
XX 0 RAMB 52454,,,,,,Papaveraceae,,,,Dicentra formosa (Andrews) Walp.,Rocaille 2,Dicentra formosa,90.0,dicentra formosa,False,False,ICN,1.0,dicentra formosa,[],False,False,Dicentra formosa,157214.0,species,ott3.3draft1,"['Dicentra oregona', 'Fumaria formosa']","['ncbi:332430', 'gbif:2888553', 'irmng:10203498']",Dicentra formosa,both
XX 0 MJG 19-69590,,,,,,Papaveraceae,,,02 s,Dicranostigma leptopodum (Maxim.) Fedde,SystÃ¨me 3,Dicranostigma leptopodum,90.0,dicranostigma leptopodum,False,True,ICN,1.0,dicranostigma leptopodum,[],False,False,Dicranostigma franchetianum,96172.0,species,ott3.3draft1,"['Chelidonium franchetianum', 'Chelidonium leptopodum', 'Dicranostigma henanense', 'Dicranostigma leptopodum', 'Glaucium leptopodum']","['ncbi:56851', 'gbif:7953280']",Dicranostigma franchetianum,both
XX 0 FRIBG 10001059,"ClÃ©ment Benoit, 2002",,,,,Rutaceae,,,,Dictamnus albus L.,Steppe val.,Dictamnus albus,95.0,dictamnus albus,False,False,ICN,1.0,dictamnus albus,[],False,False,Dictamnus albus,568898.0,species,ott3.3draft1,"['Dictamnus albus macedonicus', 'Dictamnus albus turkestanicus', 'Dictamnus altaica', 'Dictamnus angustifolius', 'Dictamnus caucasicus', 'Dictamnus davuricus', 'Dictamnus fraxinella', 'Dictamnus fraxinellus caucasicus', 'Dictamnus generalis', 'Dictamnus gymnostylis', 'Dictamnus himalayensis', 'Dictamnus macedonicus', 'Dictamnus major', 'Dictamnus microphyllus', 'Dictamnus obtusiflorus', 'Dictamnus odorus', 'Dictamnus sessilis', 'Dictamnus solitarius', 'Dictamnus suffultus', 'Dictamnus tadshikorum', 'Dictamnus turkestanicus bucharicus', 'Fraxinella alba', 'Fraxinella dictamnus', 'Fraxinella fulgurans']","['ncbi:298346', 'gbif:5421338', 'irmng:10211414']",Dictamnus albus,both
XX 0 FRIBG 10002566,"ClÃ©ment Benoit, 2002",,,,,Rutaceae,,,,Dictamnus albus L.,Pl. protÃ©gÃ©es,Dictamnus albus,95.0,dictamnus albus,False,False,ICN,1.0,dictamnus albus,[],False,False,Dictamnus albus,568898.0,species,ott3.3draft1,"['Dictamnus albus macedonicus', 'Dictamnus albus turkestanicus', 'Dictamnus altaica', 'Dictamnus angustifolius', 'Dictamnus caucasicus', 'Dictamnus davuricus', 'Dictamnus fraxinella', 'Dictamnus fraxinellus caucasicus', 'Dictamnus generalis', 'Dictamnus gymnostylis', 'Dictamnus himalayensis', 'Dictamnus macedonicus', 'Dictamnus major', 'Dictamnus microphyllus', 'Dictamnus obtusiflorus', 'Dictamnus odorus', 'Dictamnus sessilis', 'Dictamnus solitarius', 'Dictamnus suffultus', 'Dictamnus tadshikorum', 'Dictamnus turkestanicus bucharicus', 'Fraxinella alba', 'Fraxinella dictamnus', 'Fraxinella fulgurans']","['ncbi:298346', 'gbif:5421338', 'irmng:10211414']",Dictamnus albus,both
XX 0 FRIBG 10002741,,,,,,Rutaceae,,,,Dictamnus albus L.,SystÃ¨me 3,Dictamnus albus,95.0,dictamnus albus,False,False,ICN,1.0,dictamnus albus,[],False,False,Dictamnus albus,568898.0,species,ott3.3draft1,"['Dictamnus albus macedonicus', 'Dictamnus albus turkestanicus', 'Dictamnus altaica', 'Dictamnus angustifolius', 'Dictamnus caucasicus', 'Dictamnus davuricus', 'Dictamnus fraxinella', 'Dictamnus fraxinellus caucasicus', 'Dictamnus generalis', 'Dictamnus gymnostylis', 'Dictamnus himalayensis', 'Dictamnus macedonicus', 'Dictamnus major', 'Dictamnus microphyllus', 'Dictamnus obtusiflorus', 'Dictamnus odorus', 'Dictamnus sessilis', 'Dictamnus solitarius', 'Dictamnus suffultus', 'Dictamnus tadshikorum', 'Dictamnus turkestanicus bucharicus', 'Fraxinella alba', 'Fraxinella dictamnus', 'Fraxinella fulgurans']","['ncbi:298346', 'gbif:5421338', 'irmng:10211414']",Dictamnus albus,both
PK 0 FRIBG 20130063,,,,,,Plumbaginaceae,,,,Dictyolimon macrorrhabdos (Boiss.) Rech. f.,Bacs tuf,Dictyolimon macrorrhabdos,90.0,dictyolimon macrorrhabdos,False,False,ICN,1.0,dictyolimon macrorrhabdos,[],False,False,Dictyolimon macrorrhabdos,714069.0,species,ott3.3draft1,"['Limonium macrorhabdon', 'Statice macrorrhabdos']","['ncbi:76153', 'gbif:4089680']",Dictyolimon macrorrhabdos,both
XX 0 FRIBG 10003187,,,,,,Gesneriaceae,,,,Dicyrta warscewicziana Regel,Serre 4,Dicyrta warzcewicziana,84.0,dicyrta warscewicziana,True,False,ICN,0.9545454382896424,dicyrta warscewicziana,[],False,False,Achimenes warszewicziana,5145095.0,species,ott3.3draft1,"['Achimenes calderonii', 'Achimenes urticaefolia', 'Dicyrta warzcewicziana']","['ncbi:1805608', 'gbif:8667285']",Achimenes warszewicziana,both
XX 0 FRIBG 10003188,,Bouture,,,,Araceae,,,,Dieffenbachia amoena Gentil,Serre 4,Dieffenbachia amoena,95.0,dieffenbachia amoena,False,True,ICN,1.0,dieffenbachia amoena,[],False,False,Dieffenbachia seguine,362055.0,species,ott3.3draft1,"['Arum crudele', 'Arum regnium', 'Arum seguine', 'Arum seguinum', 'Caladium maculatum', 'Caladium seguine', 'Caladium seguine maculatum', 'Dieffenbachia amabilis', 'Dieffenbachia amoena', 'Dieffenbachia barraquiniana', 'Dieffenbachia brasiliensis', 'Dieffenbachia carderi', 'Dieffenbachia chelsonii', 'Dieffenbachia cognata', 'Dieffenbachia consobrina', 'Dieffenbachia conspurcata', 'Dieffenbachia decora', 'Dieffenbachia delecta', 'Dieffenbachia eburnea', 'Dieffenbachia gigantea', 'Dieffenbachia gollmeriana', 'Dieffenbachia grandis', 'Dieffenbachia illustris', 'Dieffenbachia imperator', 'Dieffenbachia insignis', 'Dieffenbachia irrorata', 'Dieffenbachia jenmanii', 'Dieffenbachia lanceola', 'Dieffenbachia lineata', 'Dieffenbachia lingulata', 'Dieffenbachia liturata', 'Dieffenbachia maculata', 'Dieffenbachia maculosa', 'Dieffenbachia magnifica', 'Dieffenbachia majestica', 'Dieffenbachia marmorata', 'Dieffenbachia membranulifera', 'Dieffenbachia mirabilis', 'Dieffenbachia neglecta', 'Dieffenbachia nitida', 'Dieffenbachia nobilis', 'Dieffenbachia picta', 'Dieffenbachia picta angustior', 'Dieffenbachia picta barraquiniana', 'Dieffenbachia picta brasiliensis', 'Dieffenbachia picta latior', 'Dieffenbachia picta mirabilis', 'Dieffenbachia picta typica', 'Dieffenbachia picturata', 'Dieffenbachia plumieri', 'Dieffenbachia poeppigii', 'Dieffenbachia princeps', 'Dieffenbachia regina', 'Dieffenbachia rex', 'Dieffenbachia robusta', 'Dieffenbachia seguina lineata', 'Dieffenbachia seguina liturata', 'Dieffenbachia seguina ventenatiana', 'Dieffenbachia seguine barraquiniana', 'Dieffenbachia seguine conspurcata', 'Dieffenbachia seguine decora', 'Dieffenbachia seguine irrorata', 'Dieffenbachia seguine lineata', 'Dieffenbachia seguine lingulata', 'Dieffenbachia seguine liturata', 'Dieffenbachia seguine maculata', 'Dieffenbachia seguine minor', 'Dieffenbachia seguine nobilis', 'Dieffenbachia seguine robusta', 'Dieffenbachia seguine ventenatiana', 'Dieffenbachia seguine viridis', 'Dieffenbachia sequine', 'Dieffenbachia triumphans', 'Dieffenbachia variegata', 'Dieffenbachia velutina', 'Dieffenbachia ventenatiana', 'Dieffenbachia verschaffeltii', 'Dieffenbachia vittata', 'Dieffenbachia wallisii', 'Seguinum maculatum', 'Spathiphyllum pictum']","['ncbi:42196', 'gbif:2869345', 'irmng:10939526']",Dieffenbachia seguine,both
XX 0 FRIBG 10003189,,Bouture,,,,Araceae,,,,Dieffenbachia seguine (Jacq.) Schott 'Jenmannii',Serre 4,Dieffenbachia seguine,90.0,dieffenbachia seguine,False,False,ICN,1.0,dieffenbachia seguine,[],False,False,Dieffenbachia seguine,362055.0,species,ott3.3draft1,"['Arum crudele', 'Arum regnium', 'Arum seguine', 'Arum seguinum', 'Caladium maculatum', 'Caladium seguine', 'Caladium seguine maculatum', 'Dieffenbachia amabilis', 'Dieffenbachia amoena', 'Dieffenbachia barraquiniana', 'Dieffenbachia brasiliensis', 'Dieffenbachia carderi', 'Dieffenbachia chelsonii', 'Dieffenbachia cognata', 'Dieffenbachia consobrina', 'Dieffenbachia conspurcata', 'Dieffenbachia decora', 'Dieffenbachia delecta', 'Dieffenbachia eburnea', 'Dieffenbachia gigantea', 'Dieffenbachia gollmeriana', 'Dieffenbachia grandis', 'Dieffenbachia illustris', 'Dieffenbachia imperator', 'Dieffenbachia insignis', 'Dieffenbachia irrorata', 'Dieffenbachia jenmanii', 'Dieffenbachia lanceola', 'Dieffenbachia lineata', 'Dieffenbachia lingulata', 'Dieffenbachia liturata', 'Dieffenbachia maculata', 'Dieffenbachia maculosa', 'Dieffenbachia magnifica', 'Dieffenbachia majestica', 'Dieffenbachia marmorata', 'Dieffenbachia membranulifera', 'Dieffenbachia mirabilis', 'Dieffenbachia neglecta', 'Dieffenbachia nitida', 'Dieffenbachia nobilis', 'Dieffenbachia picta', 'Dieffenbachia picta angustior', 'Dieffenbachia picta barraquiniana', 'Dieffenbachia picta brasiliensis', 'Dieffenbachia picta latior', 'Dieffenbachia picta mirabilis', 'Dieffenbachia picta typica', 'Dieffenbachia picturata', 'Dieffenbachia plumieri', 'Dieffenbachia poeppigii', 'Dieffenbachia princeps', 'Dieffenbachia regina', 'Dieffenbachia rex', 'Dieffenbachia robusta', 'Dieffenbachia seguina lineata', 'Dieffenbachia seguina liturata', 'Dieffenbachia seguina ventenatiana', 'Dieffenbachia seguine barraquiniana', 'Dieffenbachia seguine conspurcata', 'Dieffenbachia seguine decora', 'Dieffenbachia seguine irrorata', 'Dieffenbachia seguine lineata', 'Dieffenbachia seguine lingulata', 'Dieffenbachia seguine liturata', 'Dieffenbachia seguine maculata', 'Dieffenbachia seguine minor', 'Dieffenbachia seguine nobilis', 'Dieffenbachia seguine robusta', 'Dieffenbachia seguine ventenatiana', 'Dieffenbachia seguine viridis', 'Dieffenbachia sequine', 'Dieffenbachia triumphans', 'Dieffenbachia variegata', 'Dieffenbachia velutina', 'Dieffenbachia ventenatiana', 'Dieffenbachia verschaffeltii', 'Dieffenbachia vittata', 'Dieffenbachia wallisii', 'Seguinum maculatum', 'Spathiphyllum pictum']","['ncbi:42196', 'gbif:2869345', 'irmng:10939526']",Dieffenbachia seguine,both
XX 0 FRIBG 10003190,,Bouture,,,,Araceae,,,,Dieffenbachia seguine (Jacq.) Schott 'Picturata',Serre 4,Dieffenbachia seguine,90.0,dieffenbachia seguine,False,False,ICN,1.0,dieffenbachia seguine,[],False,False,Dieffenbachia seguine,362055.0,species,ott3.3draft1,"['Arum crudele', 'Arum regnium', 'Arum seguine', 'Arum seguinum', 'Caladium maculatum', 'Caladium seguine', 'Caladium seguine maculatum', 'Dieffenbachia amabilis', 'Dieffenbachia amoena', 'Dieffenbachia barraquiniana', 'Dieffenbachia brasiliensis', 'Dieffenbachia carderi', 'Dieffenbachia chelsonii', 'Dieffenbachia cognata', 'Dieffenbachia consobrina', 'Dieffenbachia conspurcata', 'Dieffenbachia decora', 'Dieffenbachia delecta', 'Dieffenbachia eburnea', 'Dieffenbachia gigantea', 'Dieffenbachia gollmeriana', 'Dieffenbachia grandis', 'Dieffenbachia illustris', 'Dieffenbachia imperator', 'Dieffenbachia insignis', 'Dieffenbachia irrorata', 'Dieffenbachia jenmanii', 'Dieffenbachia lanceola', 'Dieffenbachia lineata', 'Dieffenbachia lingulata', 'Dieffenbachia liturata', 'Dieffenbachia maculata', 'Dieffenbachia maculosa', 'Dieffenbachia magnifica', 'Dieffenbachia majestica', 'Dieffenbachia marmorata', 'Dieffenbachia membranulifera', 'Dieffenbachia mirabilis', 'Dieffenbachia neglecta', 'Dieffenbachia nitida', 'Dieffenbachia nobilis', 'Dieffenbachia picta', 'Dieffenbachia picta angustior', 'Dieffenbachia picta barraquiniana', 'Dieffenbachia picta brasiliensis', 'Dieffenbachia picta latior', 'Dieffenbachia picta mirabilis', 'Dieffenbachia picta typica', 'Dieffenbachia picturata', 'Dieffenbachia plumieri', 'Dieffenbachia poeppigii', 'Dieffenbachia princeps', 'Dieffenbachia regina', 'Dieffenbachia rex', 'Dieffenbachia robusta', 'Dieffenbachia seguina lineata', 'Dieffenbachia seguina liturata', 'Dieffenbachia seguina ventenatiana', 'Dieffenbachia seguine barraquiniana', 'Dieffenbachia seguine conspurcata', 'Dieffenbachia seguine decora', 'Dieffenbachia seguine irrorata', 'Dieffenbachia seguine lineata', 'Dieffenbachia seguine lingulata', 'Dieffenbachia seguine liturata', 'Dieffenbachia seguine maculata', 'Dieffenbachia seguine minor', 'Dieffenbachia seguine nobilis', 'Dieffenbachia seguine robusta', 'Dieffenbachia seguine ventenatiana', 'Dieffenbachia seguine viridis', 'Dieffenbachia sequine', 'Dieffenbachia triumphans', 'Dieffenbachia variegata', 'Dieffenbachia velutina', 'Dieffenbachia ventenatiana', 'Dieffenbachia verschaffeltii', 'Dieffenbachia vittata', 'Dieffenbachia wallisii', 'Seguinum maculatum', 'Spathiphyllum pictum']","['ncbi:42196', 'gbif:2869345', 'irmng:10939526']",Dieffenbachia seguine,both
XX 0 FRP 26109,,,,,,Iridaceae,,,,Dierama igneum Klatt,GÃ©ophytes,Dierama igneum,95.0,dierama igneum,False,False,ICN,1.0,dierama igneum,[],False,False,Dierama igneum,3997688.0,species,ott3.3draft1,['Dierama pansum'],['gbif:5296522'],Dierama igneum,both
XX 0 FRIBG 20030218,,,Orangerie,,,Iridaceae,,,,Dierama pendulum (L. f.) Baker,GÃ©ophytes,Dierama pendulum,90.0,dierama pendulum,False,False,ICN,1.0,dierama pendulum,[],False,False,Dierama pendulum,3997651.0,species,ott3.3draft1,"['Dierama ensifolium', 'Ixia pendula', 'Sparaxis pendula']",['gbif:5296518'],Dierama pendulum,both
XX 0 FRIBG 20160201,,,,,,Caprifoliaceae,,,,Diervilla sessilifolia Buckley 'Cool Splash',SystÃ¨me 1,Diervilla sessilifolia,90.0,diervilla sessilifolia,False,False,ICN,1.0,diervilla sessilifolia,[],False,False,Diervilla sessilifolia,30740.0,species,ott3.3draft1,['Weigela splendens'],"['ncbi:79608', 'gbif:2888710', 'irmng:11435451']",Diervilla sessilifolia,both
IT 0 FRIBG 20010344,,,,,,Plantaginaceae,,,,Digitalis ferruginea L.,Rocaille 1,Digitalis ferruginea,95.0,digitalis ferruginea,False,False,ICN,1.0,digitalis ferruginea,[],False,False,Digitalis ferruginea,644418.0,species,ott3.3draft1,[],"['ncbi:285817', 'gbif:5414991', 'irmng:11226753']",Digitalis ferruginea,both
CH 0 FRIBG 20020640,"ClÃ©ment Benoit, 2007",,,,,Plantaginaceae,,,,Digitalis grandiflora Mill.,Pl. protÃ©gÃ©es,Digitalis grandiflora,95.0,digitalis grandiflora,False,False,ICN,1.0,digitalis grandiflora,[],False,False,Digitalis grandiflora,982770.0,species,ott3.3draft1,"['Digitalis ambigua', 'Digitalis ambigua acutiloba', 'Digitalis ambigua obtusiloba', 'Digitalis flava', 'Digitalis lutea', 'Digitalis lutea-major', 'Digitalis magniflora', 'Digitalis milleri', 'Digitalis ochroleuca', 'Digitalis orientalis']","['ncbi:38791', 'gbif:5414992', 'irmng:10596862']",Digitalis grandiflora,both
CH 0 FRIBG 20020640,"ClÃ©ment Benoit, 2007",,,,,Plantaginaceae,,,,Digitalis grandiflora Mill.,Alp. calcaire 6,Digitalis grandiflora,95.0,digitalis grandiflora,False,False,ICN,1.0,digitalis grandiflora,[],False,False,Digitalis grandiflora,982770.0,species,ott3.3draft1,"['Digitalis ambigua', 'Digitalis ambigua acutiloba', 'Digitalis ambigua obtusiloba', 'Digitalis flava', 'Digitalis lutea', 'Digitalis lutea-major', 'Digitalis magniflora', 'Digitalis milleri', 'Digitalis ochroleuca', 'Digitalis orientalis']","['ncbi:38791', 'gbif:5414992', 'irmng:10596862']",Digitalis grandiflora,both
CH 0 FRIBG 20020640,"ClÃ©ment Benoit, 2007",,,,,Plantaginaceae,,,23 s,Digitalis grandiflora Mill.,SystÃ¨me 1,Digitalis grandiflora,95.0,digitalis grandiflora,False,False,ICN,1.0,digitalis grandiflora,[],False,False,Digitalis grandiflora,982770.0,species,ott3.3draft1,"['Digitalis ambigua', 'Digitalis ambigua acutiloba', 'Digitalis ambigua obtusiloba', 'Digitalis flava', 'Digitalis lutea', 'Digitalis lutea-major', 'Digitalis magniflora', 'Digitalis milleri', 'Digitalis ochroleuca', 'Digitalis orientalis']","['ncbi:38791', 'gbif:5414992', 'irmng:10596862']",Digitalis grandiflora,both
XX 0 FRIBG 10000111,,,,,,Plantaginaceae,,,23 s,Digitalis lanata Ehrh.,MÃ©dicinal,Digitalis lanata,95.0,digitalis lanata,False,False,ICN,1.0,digitalis lanata,[],False,False,Digitalis lanata,893248.0,species,ott3.3draft1,['Digitalis eriostachya'],"['ncbi:49450', 'gbif:5414989', 'irmng:10993848']",Digitalis lanata (species in kingdom Archaeplastida),both
XX 0 FRIBG 19890162,"Bollinger Susanne, 1995",,,,,Plantaginaceae,,,,Digitalis lutea L.,Pl. protÃ©gÃ©es,Digitalis lutea,95.0,digitalis lutea,False,False,ICN,1.0,digitalis lutea,[],False,False,Digitalis lutea,122770.0,species,ott3.3draft1,"['Digitalis argyrostigma', 'Digitalis lutea bracteata', 'Digitalis lutea ciliata', 'Digitalis lutea glanduloso-villosa', 'Digitalis lutea grandiflora', 'Digitalis lutea hirsuta', 'Digitalis ornata', 'Digitalis parviflora']","['ncbi:285825', 'gbif:5414990', 'irmng:10203102']",Digitalis lutea,both
CH 0 FRIBG 20050002,"Sciboz Jacques, 2005",,,,,Plantaginaceae,,,23 s,Digitalis lutea L.,SystÃ¨me 1,Digitalis lutea,95.0,digitalis lutea,False,False,ICN,1.0,digitalis lutea,[],False,False,Digitalis lutea,122770.0,species,ott3.3draft1,"['Digitalis argyrostigma', 'Digitalis lutea bracteata', 'Digitalis lutea ciliata', 'Digitalis lutea glanduloso-villosa', 'Digitalis lutea grandiflora', 'Digitalis lutea hirsuta', 'Digitalis ornata', 'Digitalis parviflora']","['ncbi:285825', 'gbif:5414990', 'irmng:10203102']",Digitalis lutea,both
CH 0 FRIBG 20050002,"Sciboz Jacques, 2005",,,,,Plantaginaceae,,,,Digitalis lutea L.,Alp. calcaire 2,Digitalis lutea,95.0,digitalis lutea,False,False,ICN,1.0,digitalis lutea,[],False,False,Digitalis lutea,122770.0,species,ott3.3draft1,"['Digitalis argyrostigma', 'Digitalis lutea bracteata', 'Digitalis lutea ciliata', 'Digitalis lutea glanduloso-villosa', 'Digitalis lutea grandiflora', 'Digitalis lutea hirsuta', 'Digitalis ornata', 'Digitalis parviflora']","['ncbi:285825', 'gbif:5414990', 'irmng:10203102']",Digitalis lutea,both
ES 0 KL 2016/3852,,,,,,Plantaginaceae,,,,Digitalis obscura L.,SystÃ¨me 1,Digitalis obscura,95.0,digitalis obscura,False,False,ICN,1.0,digitalis obscura,[],False,False,Digitalis obscura,1027883.0,species,ott3.3draft1,[],"['ncbi:202408', 'gbif:5559052']",Digitalis obscura,both
DE 0 FRIBG 20031228,,,,,,Plantaginaceae,,,23 s,Digitalis purpurea L.,SystÃ¨me 1,Digitalis purpurea,95.0,digitalis purpurea,False,False,ICN,1.0,digitalis purpurea,[],False,False,Digitalis purpurea,75205.0,species,ott3.3draft1,"['Digitalis purpurea alba', 'Digitalis purpurea gloxiniiflora', 'Digitalis purpurea gyspergerae']","['ncbi:4164', 'gbif:5414995', 'irmng:10203103']",Digitalis purpurea (species in kingdom Archaeplastida),both
