ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,flags,rank
905814,Archaeplastida,Streptophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,,Asplenium scolopendrium,5268475,916750,166292,93178,127293,38492,,[],species
907313,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Scutellaria,,Scutellaria galericulata (species in kingdom Archaeplastida),5268475,916750,99252,23736,544714,544701,,[],species
907317,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Scutellaria,,Scutellaria alpina,5268475,916750,99252,23736,544714,544701,,[],species
907326,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,,Lamium maculatum,5268475,916750,99252,23736,544714,332799,,[],species
907417,Archaeplastida,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,,Euphorbia lathyris,5268475,916750,99252,429482,914245,109494,,[],species
907454,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,,,Thymus (genus in kingdom Archaeplastida),5268475,916750,99252,23736,544714,,,[],genus
907458,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus,,Thymus vulgaris,5268475,916750,99252,23736,544714,907454,,[],species
908464,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,,Rosa multiflora,5268475,916750,99252,208031,208036,259066,,['incertae_sedis_inherited'],species
908467,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,,Rosa blanda,5268475,916750,99252,208031,208036,259066,,['incertae_sedis_inherited'],species
908471,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,,Rosa pendulina,5268475,916750,99252,208031,208036,259066,,['incertae_sedis_inherited'],species
909778,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Chloraea,,Chloraea cristata,5268475,916750,99252,557124,568878,543407,,[],species
910915,Archaeplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Gastrolobium,,Gastrolobium laytoni,5268475,916750,99252,956360,560323,584960,,[],species
912112,Archaeplastida,Streptophyta,Magnoliopsida,Malvales,Thymelaeaceae,Daphne,,Daphne mezereum,5268475,916750,99252,229284,1015625,549854,,[],species
912164,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,,Salvia viscosa,5268475,916750,99252,23736,544714,374096,,['incertae_sedis'],species
912166,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,,Salvia texana,5268475,916750,99252,23736,544714,374096,,['incertae_sedis'],species
912485,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Acanthaceae,Acanthus,,Acanthus longifolius,5268475,916750,99252,23736,504642,828090,,[],species
912748,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Gesneriaceae,Ramonda,,Ramonda myconi,5268475,916750,99252,23736,913162,912745,,[],species
913184,Archaeplastida,Streptophyta,Magnoliopsida,Laurales,Monimiaceae,Peumus,,Peumus boldus,5268475,916750,99252,913244,25258,338417,,[],species
913239,Archaeplastida,Streptophyta,Magnoliopsida,Laurales,Calycanthaceae,Calycanthus,,Calycanthus chinensis,5268475,916750,99252,913244,338486,930002,,[],species
913249,Archaeplastida,Streptophyta,Magnoliopsida,Laurales,Lauraceae,Persea,,Persea americana,5268475,916750,99252,913244,913246,1081446,,[],species
