is_approximate_match,is_synonym,matched_name,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name
False,False,Combretum indicum,ICN,1.0,combretum indicum,[],False,False,Combretum indicum,964827,species,ott3.3draft1,"['Combretum malabaricum', 'Kleinia quadricolor', 'Mekistus sinensis', 'Quisqualis glabra', 'Quisqualis grandiflora', 'Quisqualis indica', 'Quisqualis indica villosa', 'Quisqualis longiflora', 'Quisqualis loureiri', 'Quisqualis malabarica', 'Quisqualis obovata', 'Quisqualis pierrei', 'Quisqualis pubescens', 'Quisqualis sinensis', 'Quisqualis spinosa', 'Quisqualis villosa']","['ncbi:3956', 'gbif:3699632', 'gbif:7866256', 'irmng:10210036']",Combretum indicum
False,False,Mangifera indica,ICN,1.0,mangifera indica,[],False,False,Mangifera indica,807634,species,ott3.3draft1,"['Mangifera amba', 'Mangifera anisodora', 'Mangifera austro-yunnanensis', 'Mangifera domestica', 'Mangifera gladiata', 'Mangifera integrifolia', 'Mangifera kukula', 'Mangifera linnaei', 'Mangifera maritima', 'Mangifera mekongensis', 'Mangifera montana', 'Mangifera racemosa', 'Mangifera rostrata', 'Mangifera rubra', 'Mangifera sativa', 'Mangifera siamensis', 'Mangifera viridis']","['ncbi:29780', 'gbif:3190638', 'irmng:10201022']",Mangifera indica
False,True,Mangifera indica,ICN,1.0,mangifera indica,[],False,False,Mangifera foetida,422407,species,ott3.3draft1,"['Mangifera horsfieldii', 'Mangifera indica', 'Mangifera leschenaultii']","['ncbi:171935', 'gbif:3190640', 'irmng:11427926']",Mangifera foetida
False,True,Mangifera indica,ICN,1.0,mangifera indica,[],False,False,Mangifera sylvatica,847341,species,ott3.3draft1,['Mangifera indica'],"['ncbi:171944', 'gbif:3662046']",Mangifera sylvatica
False,False,Eugenia uniflora,ICN,1.0,eugenia uniflora,['sibling_higher'],False,False,Eugenia uniflora,1001992,species,ott3.3draft1,"['Eugenia arechavaletae', 'Eugenia bergii', 'Eugenia costata', 'Eugenia dasyblasta', 'Eugenia decidua', 'Eugenia diaphana', 'Eugenia gracilipes', 'Eugenia lineatifolia', 'Eugenia michelii', 'Eugenia myrtifolia', 'Eugenia myrtifolia Salisb., 1796 non Eugenia myrtifolia Sims, 1821, nec Eugenia myrtifolia Roxb., 1832, nec Eugenia myrtifolia Cambess., 1833', 'Eugenia oblongifolia', 'Eugenia strigosa', 'Eugenia uniflora atropurpurea', 'Eugenia willdenowii', 'Eugenia zeylanica', 'Luma arechavaletae', 'Luma costata', 'Luma dasyblasta', 'Luma strigosa', 'Myrcia dasyblasta', 'Myrcia dasyblasta cordata', 'Myrcia dasyblasta ovata', 'Myrtus brasiliana', 'Myrtus brasiliana diversifolia', 'Myrtus brasiliana lanceolata', 'Myrtus brasiliana lucida', 'Myrtus brasiliana normalis', 'Myrtus willdenowii', 'Myrtus willdenowii portoriccensis', 'Plinia pedunculata', 'Plinia petiolata', 'Plinia rubra', 'Plinia tetrapetala', 'Stenocalyx affinis', 'Stenocalyx costatus', 'Stenocalyx dasyblastus', 'Stenocalyx glaber', 'Stenocalyx impunctatus', 'Stenocalyx lucidus', 'Stenocalyx michelii', 'Stenocalyx michelii membranacea', 'Stenocalyx michelii rigida', 'Stenocalyx oblongifolius', 'Stenocalyx rhampiri', 'Stenocalyx ruber', 'Stenocalyx strigosus', 'Stenocalyx uniflorus', 'Syzygium michelii']","['ncbi:119951', 'gbif:5416456', 'gbif:5416458']",Eugenia uniflora (species in kingdom Archaeplastida)
False,False,Solanum betaceum,ICN,1.0,solanum betaceum,['sibling_higher'],False,False,Solanum betaceum,590315,species,ott3.3draft1,"['Cyphomandra betacea', 'Cyphomandra crassicaulis', 'Cyphomandra crassifolia', 'Cyphomandra procera', 'Pionandra betacea', 'Solanum crassifolium', 'Solanum insigne', 'Solanum obliquum']","['ncbi:45843', 'gbif:2930216', 'irmng:10974753']",Solanum betaceum
False,False,Ananas comosus,ICN,1.0,ananas comosus,[],False,False,Ananas comosus,627039,species,ott3.3draft1,"['Ananas ananas', 'Ananas argentata', 'Ananas aurata', 'Ananas bracteatus paraguayensis', 'Ananas coccineus', 'Ananas comosus var. comosus', 'Ananas glaber', 'Ananas lucidus', 'Ananas maxima', 'Ananas mordilona', 'Ananas ovatus', 'Ananas penangensis', 'Ananas proliferus', 'Ananas pyramidalis', 'Ananas sativus lucidus', 'Ananas serotinus', 'Ananas viridis', 'Ananassa mordilona', 'Bromelia ananas', 'Bromelia ananas inermis', 'Bromelia communis', 'Bromelia comosa', 'Bromelia edulis', 'Bromelia glabra', 'Bromelia inermis', 'Bromelia rubra', 'Bromelia subspinosa', 'Bromelia viridis']","['ncbi:4615', 'gbif:5288776', 'gbif:5288819', 'irmng:10207532']",Ananas comosus
False,False,Syzygium jambos,ICN,1.0,syzygium jambos,[],False,False,Syzygium jambos,731939,species,ott3.3draft1,"['Eugenia decora', 'Eugenia jamboides', 'Eugenia jambos', 'Eugenia jambos sylvatica', 'Eugenia jambosa', 'Eugenia jamboscensis', 'Eugenia malaccensis', 'Eugenia monantha', 'Eugenia vulgaris', 'Jambosa jambos', 'Jambosa palembanica', 'Jambosa vulgaris', 'Myrtus jambos', 'Plinia jambos', 'Syzygium jambos linearilimbum', 'Syzygium jambos sylvaticum', 'Syzygium merrillii', 'Syzygium monanthum']","['ncbi:334483', 'gbif:3183534']",Syzygium jambos
False,False,Averrhoa carambola,ICN,1.0,averrhoa carambola,[],False,False,Averrhoa carambola,760798,species,ott3.3draft1,"['Averrhoa acutangula', 'Averrhoa microphylla', 'Averrhoa pentandra', 'Connaropsis philippica', 'Sarcotheca philippica']","['ncbi:28974', 'gbif:2891641', 'irmng:10694428']",Averrhoa carambola
False,False,Passiflora quadrangularis,ICN,1.0,passiflora quadrangularis,[],False,False,Passiflora quadrangularis,530194,species,ott3.3draft1,"['Granadilla quadrangularis', 'Passiflora grandiflora', 'Passiflora hulletti', 'Passiflora macrocarpa', 'Passiflora quadrangularis variegata', 'Passiflora sulcata', 'Passiflora tetragona']","['ncbi:3685', 'gbif:2874183', 'irmng:10907914']",Passiflora quadrangularis
